시도,시군구,사물명,관리부서,사물주소,시설형태,위도,경도
대전광역시,동구,삼성디지털프라자,운송주차과,대전광역시 동구 동서대로 1684,표지판형,36.3487997,127.4371221
대전광역시,동구,엠제이쥬얼리 앞,운송주차과,대전광역시 동구 동서대로 1710 ,표지판형,36.3496746,127.4396064
대전광역시,동구,흥룡네거리/대전보건대,운송주차과,대전광역시 동구 동대전로284번길 120,표지판형,36.3492603,127.4508839
대전광역시,동구,우송대 서캠퍼스,운송주차과,대전광역시 동구 동대전로 169 ,표지판형,36.3370492,127.4473665
대전광역시,동구,빌라맨션,운송주차과,대전광역시 동구 대전천동로 618 ,표지판형,36.3344283,127.4251612
대전광역시,동구,창안과 의원,운송주차과,대전광역시 동구 대전로 789,표지판형,36.3299793,127.43295
대전광역시,동구,오도상사,운송주차과,대전광역시 동구 대흥로 204 ,표지판형,36.3261887,127.4343111
대전광역시,동구,신흥시외버스정류장,운송주차과,대전광역시 동구 계족로 95 ,표지판형,36.3229605,127.4450028
대전광역시,동구,효동현대아파트/새마을금고,운송주차과,대전광역시 동구 대전로 650 ,표지판형,36.3191484,127.4412056
대전광역시,동구,동부로 57 건물 뒤,운송주차과,대전광역시 동구 동부로 57 ,표지판형,36.3284468,127.4628958
대전광역시,동구,가오동 홈플러스,운송주차과,대전광역시 동구 동구청로 94 ,표지판형,36.3072993,127.4573201
대전광역시,중구,선화신협 맞은편,운송주차과,대전광역시 중구 대종로 589 ,표지판형,36.3344026,127.4183777
대전광역시,중구,선화신협/선화동성당,운송주차과,대전광역시 중구 대종로 588 ,표지판형,36.3345609,127.4189206
대전광역시,중구,대전세무서 맞은편,운송주차과,대전광역시 중구 보문로 330 ,표지판형,36.3316283,127.4192503
대전광역시,중구,선화시티빌,운송주차과,대전광역시 중구 대종로 547 ,표지판형,36.3318058,127.4216112
대전광역시,중구,중구 선거관리위원회,운송주차과,대전광역시 중구 대종로 526 ,표지판형,36.3307854,127.4236552
대전광역시,중구,스마트284 주상복합,운송주차과,대전광역시 중구 보문로 290 ,표지판형,36.3209727,127.4276156
대전광역시,중구,중구청,운송주차과,대전광역시 중구 보문로 255 ,표지판형,36.3209727,127.4276156
대전광역시,중구,한우리 신협 앞,운송주차과,대전광역시 중구 대종로 485,표지판형,36.3276628,127.4261789
대전광역시,중구,대우당약국,운송주차과,대전광역시 중구 중앙로 169,표지판형,36.3297416,127.4280951
대전광역시,중구,대전평생학습관,운송주차과,대전광역시 중구 대종로 463 ,표지판형,36.3259434,127.4272277
대전광역시,중구,대전고 북쪽,운송주차과,대전광역시 중구 대흥로 116 ,표지판형,36.3233595,127.4241929
대전광역시,중구,동건참좋은아파트,운송주차과,대전광역시 중구 대종로 423 ,표지판형,36.3205105,127.4310987
대전광역시,중구,대전남부교회,운송주차과,대전광역시 중구 대종로 424 ,표지판형,36.3228245,127.4294963
대전광역시,중구,대흥동우체국 맞은편,운송주차과,대전광역시 중구 대흥로 177 ,표지판형,36.3255776,127.431388
대전광역시,중구,대흥동우체국,운송주차과,대전광역시 중구 대흥로 178 ,표지판형,36.3252242,127.4316143
대전광역시,중구,한밭종합운동장 북쪽,운송주차과,대전광역시 중구 충무로 124 ,표지판형,36.3187909,127.4310162
대전광역시,중구,한밭종합운동장 동쪽 입구,운송주차과,대전광역시 중구 대종로 339 ,표지판형,36.3205105,127.4310987
대전광역시,중구,한밭종합운동장 동쪽 입구 맞은편,운송주차과,대전광역시 중구 대종로 342 ,표지판형,36.3161782,127.4334031
대전광역시,중구,부사동시외버스정류장,운송주차과,대전광역시 중구 대종로 289 ,표지판형,36.3120881,127.4363363
대전광역시,중구,부사동 시외버스정류장 맞은편,운송주차과,대전광역시 중구 대종로 288 ,표지판형,36.3205105,127.4310987
대전광역시,중구,솔빛아파트,운송주차과,대전광역시 중구 대종로 60 ,표지판형,36.2986444,127.4550791
대전광역시,중구,유등마을아파트 111동,운송주차과,대전광역시 중구 수침로 134 ,표지판형,36.32698329999999,127.3998896
대전광역시,중구,유승모터스,운송주차과,대전광역시 중구 오류로 121 ,표지판형,36.3260382,127.4030691
대전광역시,중구,계룡육교/남양알로에,운송주차과,대전광역시 중구 계룡로 767 ,표지판형,36.3303936,127.4032182
